2024-06-07 15:58:13,298	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:13,410	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:5F:3D:A9:83:6E: .
2024-06-07 15:58:13,413	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:13,539	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 7F:8F:FD:B7:0B:C0: .
2024-06-07 15:58:13,540	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 7F:8F:FD:B7:0B:C0: .
2024-06-07 15:58:13,884	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:13,885	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:13,886	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:13,891	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:13,892	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:13,895	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:13,898	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:14,003	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:14,005	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:14,007	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:14,008	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:14,117	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:14,119	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:14,120	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:14,124	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:14,125	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:14,234	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:14,235	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:14,241	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
2024-06-07 15:58:14,358	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0A:20:12:34:D3:A4: .
2024-06-07 15:58:14,360	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0A:20:12:34:D3:A4: .
2024-06-07 15:58:14,364	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:14,368	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:14,370	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:14,483	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:14,485	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:14,586	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:14,588	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:14,601	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 21:68:65:03:33:A1: .
2024-06-07 15:58:14,829	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:14,831	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 06:DC:7F:AD:AF:27: .
2024-06-07 15:58:14,942	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:14,944	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:14,947	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4D:DC:F1:E8:72:65: .
2024-06-07 15:58:14,949	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 4D:DC:F1:E8:72:65: .
2024-06-07 15:58:14,958	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:15,063	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:15,064	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:15,067	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:15,069	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:15,072	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:15,074	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: Ixana YR22 EVK.
2024-06-07 15:58:15,177	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:15,178	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:15,180	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:15,191	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:15,192	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:15,297	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 03:5F:3D:A9:83:6E: .
2024-06-07 15:58:15,300	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:15,303	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:15,305	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0F:94:2F:10:8E:00: .
2024-06-07 15:58:15,309	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:15,416	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:15,417	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:15,420	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:15,422	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:15,651	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:15,656	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:86:81:3E:32:CC: .
2024-06-07 15:58:15,660	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:86:81:3E:32:CC: .
2024-06-07 15:58:15,665	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:15,667	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:15,769	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:15,770	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:15,778	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:15,890	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:15,891	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: Amdtp.
2024-06-07 15:58:16,006	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:16,007	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:16,010	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:16,011	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:16,123	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:16,124	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: Ixana YR22 EVK.
2024-06-07 15:58:16,127	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:16,129	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:16,244	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:16,245	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:16,248	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:16,250	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:16,253	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:16,256	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:16,257	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:16,260	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:01:82:2B:58:6B: .
2024-06-07 15:58:16,358	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 24:3F:9D:60:37:2F: .
2024-06-07 15:58:16,478	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:16,483	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:16,485	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:16,609	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:16,715	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 38:01:95:99:1C:66: .
2024-06-07 15:58:16,717	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:16,722	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 3B:E8:18:5E:95:18: .
2024-06-07 15:58:16,834	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:16,835	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:16,843	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:07:2E:5B:6F:67: .
2024-06-07 15:58:16,948	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0A:20:12:34:D3:A4: .
2024-06-07 15:58:16,950	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0A:20:12:34:D3:A4: .
2024-06-07 15:58:16,955	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: .
2024-06-07 15:58:16,957	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:02:15:5A:DB:AC: Amdtp.
2024-06-07 15:58:16,960	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:16,961	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:16,965	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:16,968	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:16,970	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:04:6D:CE:F3:BC: .
2024-06-07 15:58:17,068	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:17,072	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: LE_WH-1000XM5.
2024-06-07 15:58:17,078	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: .
2024-06-07 15:58:17,079	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:09:DD:FB:53:D2: Amdtp.
2024-06-07 15:58:17,082	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:17,083	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:17,085	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:86:81:3E:32:CC: .
2024-06-07 15:58:17,089	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 2A:86:81:3E:32:CC: .
2024-06-07 15:58:17,187	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: .
2024-06-07 15:58:17,189	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:04:31:9C:D5: Amdtp.
2024-06-07 15:58:17,192	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: .
2024-06-07 15:58:17,193	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:08:FC:E1:F4:00: Amdtp.
2024-06-07 15:58:17,422	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:17,424	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 51:1D:F6:80:57:8F: .
2024-06-07 15:58:17,431	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:17,539	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 0C:0D:83:48:9B:3F: .
2024-06-07 15:58:17,549	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 29:C3:C2:0E:BC:EC: .
2024-06-07 15:58:17,665	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: .
2024-06-07 15:58:17,665	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:03:71:74:E0:2A: Amdtp.
2024-06-07 15:58:17,791	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
2024-06-07 15:58:17,792	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: Ixana YR22 EVK.
2024-06-07 15:58:17,895	DEBUG	bleak.backends.winrt.scanner._received_handler	Received 68:05:16:46:BF:24: .
